Account ID,Account Owner Region,Account Name,Type,Sub Type,Support SDR,Billing Country,Industry,Employees,Account Propensity Score (APS),Global 2000 Rank,Expected SDR Assignment ,Match/Mismatch
123625,DE,Company 170,Prospect,Suspect,Comm Rep,Germany,Hardlines,57,50,,Comm Rep,Match
123626,DE,Company 171,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,133,32,,Comm Rep,Match
123627,DE,Company 172,Prospect,Suspect,SDR,Germany,Industrial Goods,482,70,,Comm Rep,Mismatch
123628,DE,Company 173,Prospect,Suspect,Comm Rep,Germany,Federal & National Government,617,47,,SDR,Mismatch
123629,DE,Company 174,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,180,19,,Comm Rep,Mismatch
123630,DE,Company 175,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,63,42,,Comm Rep,Mismatch
123631,DE,Company 176,Prospect,Suspect,SDR,Germany,Professional Services,2,24,,Comm Rep,Mismatch
123632,DE,Company 177,Prospect,Suspect,SDR,Germany,Healthcare Providers,16,35,,Comm Rep,Mismatch
123633,DE,Company 178,Prospect,Suspect,SDR,Germany,"Airlines, Car, Rail, Cruise, Bus",238,38,,Comm Rep,Mismatch
123634,DE,Company 179,Prospect,Suspect,Comm Rep,Germany,Software - B2B,178,64,,Comm Rep,Match
123635,DE,Company 180,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,79,79,,Comm Rep,Mismatch
123636,DE,Company 181,Prospect,Suspect,Comm Rep,Germany,Other Travel and Hospitality,872,40,,SDR,Mismatch
123637,DE,Company 182,Prospect,Suspect,Comm Rep,Germany,"Logistics, Transportation & Supply Chain",653,44,,SDR,Mismatch
123638,DE,Company 183,Prospect,Suspect,SDR,Germany,Nonprofit Organization,,10,,Unknown,Mismatch
123639,DE,Company 184,Prospect,Suspect,Comm Rep,Germany,HCLS Other,529,45,,SDR,Mismatch
123640,DE,Company 185,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,14221,55,,SDR,Mismatch
123641,DE,Company 186,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,10,21,,Comm Rep,Mismatch
123642,DE,Company 187,Prospect,Suspect,SDR,Germany,,,24,,Unknown,Mismatch
123643,DE,Company 188,Prospect,Suspect,SDR,Germany,"Logistics, Transportation & Supply Chain",29,41,,Comm Rep,Mismatch
123644,DE,Company 189,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,31,76,73,Comm Rep,Mismatch
123645,DE,Company 190,Prospect,Suspect,Comm Rep,Germany,"Logistics, Transportation & Supply Chain",963,44,,SDR,Mismatch
123646,DE,Company 191,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,104,57,,Comm Rep,Match
123647,DE,Company 192,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,7,10,,Comm Rep,Mismatch
123648,DE,Company 193,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,39,13,,Comm Rep,Mismatch
123649,DE,Company 194,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,5,73,,Comm Rep,Mismatch
123650,DE,Company 195,Prospect,Suspect,Comm Rep,Germany,Professional Services,20,40,,Comm Rep,Match
123651,DE,Company 196,Prospect,Suspect,Comm Rep,Germany,Healthcare Providers,280,40,,Comm Rep,Match
123652,DE,Company 197,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,87810,57,,SDR,Mismatch
123653,DE,Company 198,Prospect,Suspect,SDR,Germany,Nonprofit Organization,586,75,,SDR,Match
123654,DE,Company 199,Prospect,Suspect,SDR,Germany,Other Travel and Hospitality,694,35,,SDR,Match
123655,DE,Company 200,Prospect,Suspect,Comm Rep,Germany,Hardlines,1000,40,,SDR,Mismatch
123656,DE,Company 201,Prospect,Suspect,Comm Rep,Germany,Hardlines,265,92,,Comm Rep,Match
123657,DE,Company 202,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,376,48,,Comm Rep,Match
123658,DE,Company 203,Prospect,Suspect,SDR,Germany,Healthcare Providers,1600,38,,SDR,Match
123659,DE,Company 204,Prospect,Suspect,SDR,Germany,Other Private Service,11,42,,Comm Rep,Mismatch
123660,DE,Company 205,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,3,47,,Comm Rep,Match
123661,DE,Company 206,Prospect,Suspect,SDR,Germany,Industrial Goods,51,70,,Comm Rep,Mismatch
123662,DE,Company 207,Prospect,Suspect,Comm Rep,Germany,Software - B2B,656,57,,SDR,Mismatch
123663,DE,Company 208,Prospect,Suspect,SDR,Germany,Life Sciences Tech,1007,94,,SDR,Match
123664,DE,Company 209,Prospect,Suspect,SDR,Germany,Life Sciences Tech,524,74,,SDR,Match
123665,DE,Company 210,Prospect,Suspect,SDR,Germany,Federal & National Government,617,81,,SDR,Match
123666,DE,Company 211,Prospect,Suspect,Comm Rep,Germany,Federal & National Government,617,46,,SDR,Mismatch
123667,DE,Company 212,Prospect,Suspect,Comm Rep,Germany,Federal & National Government,617,40,,SDR,Mismatch
123668,DE,Company 213,Prospect,Suspect,Comm Rep,Germany,"Grocery, Consumables, Food & Beverage",3200,44,,SDR,Mismatch
123669,DE,Company 214,Prospect,Suspect,SDR,Germany,Wealth & Asset Management,1,24,,Comm Rep,Mismatch
123670,DE,Company 215,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,266,54,582,Comm Rep,Match
123671,DE,Company 216,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,2431,76,,SDR,Match
123672,DE,Company 217,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,2431,56,,SDR,Mismatch
123673,DE,Company 218,Prospect,Suspect,Comm Rep,Germany,Software - B2B,993,57,,SDR,Mismatch
123674,DE,Company 219,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,3360,89,,SDR,Mismatch
123675,DE,Company 220,Prospect,Suspect,SDR,Germany,Healthcare Providers,3424,41,,SDR,Match
123676,DE,Company 221,Prospect,Suspect,Comm Rep,Germany,Automotive,548,48,,SDR,Mismatch
123677,DE,Company 222,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,968,50,,SDR,Mismatch
123678,DE,Company 223,Prospect,Suspect,SDR,Germany,"Logistics, Transportation & Supply Chain",20,75,,Comm Rep,Mismatch
123679,DE,Company 224,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,1,20,,Comm Rep,Mismatch
123680,DE,Company 225,Prospect,Suspect,SDR,Germany,Nonprofit Organization,45,37,,Comm Rep,Mismatch
123681,DE,Company 226,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,98,84,,Comm Rep,Match
123682,DE,Company 227,Prospect,Suspect,SDR,Germany,Other Private Service,831,21,,SDR,Match
123683,DE,Company 228,Prospect,Suspect,SDR,Germany,Nonprofit Organization,28,19,,Comm Rep,Mismatch
123684,DE,Company 229,Prospect,Suspect,Comm Rep,Germany,Healthcare Providers,2,48,,Comm Rep,Match
123685,DE,Company 230,Prospect,Suspect,SDR,Germany,Nonprofit Organization,,14,,Unknown,Mismatch
123686,DE,Company 231,Prospect,Suspect,Comm Rep,Germany,Hotels and Accommodations,27,28,,Comm Rep,Match
123687,DE,Company 232,Prospect,Suspect,SDR,Germany,Healthcare Providers,462,35,,Comm Rep,Mismatch
123688,DE,Company 233,Prospect,Suspect,SDR,Germany,Nonprofit Organization,4,20,,Comm Rep,Mismatch
123689,DE,Company 234,Prospect,Suspect,Comm Rep,Germany,Nonprofit Organization,4,34,,Comm Rep,Match
123690,DE,Company 235,Prospect,Suspect,SDR,Germany,Software - B2B,3,35,,Comm Rep,Mismatch
123691,DE,Company 236,Prospect,Suspect,SDR,Germany,Professional Services,3293,42,,SDR,Match
123692,DE,Company 237,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,397,73,,Comm Rep,Mismatch
123693,DE,Company 238,Prospect,Suspect,Comm Rep,Germany,Other Private Service,91,91,,Comm Rep,Match
123694,DE,Company 239,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,471,34,,Comm Rep,Match
123695,DE,Company 240,Prospect,Suspect,SDR,Germany,Media & Streaming,776,74,,SDR,Match
123696,DE,Company 241,Prospect,Suspect,SDR,Germany,Healthcare Providers,900,24,,SDR,Match
123697,DE,Company 242,Prospect,Suspect,SDR,Germany,Media & Streaming,122,15,,Comm Rep,Mismatch
