Account ID,Account Owner Region,Account Name,Type,Sub Type,Support SDR,Billing Country,Industry,Employees,Account Propensity Score (APS),Global 2000 Rank
123715,DE,Company 260,Prospect,Suspect,Comm Rep,Germany,Professional Services,615,34,
123716,DE,Company 261,Prospect,Suspect,SDR,Germany,Professional Services,173,21,
123717,DE,Company 262,Prospect,Suspect,SDR,Germany,Professional Services,1365,20,
123718,DE,Company 263,Prospect,Suspect,Comm Rep,Germany,Professional Services,2669,43,
123719,DE,Company 264,Prospect,Suspect,Comm Rep,Germany,AdTech & MarTech,145,87,
123720,DE,Company 265,Prospect,Suspect,Comm Rep,Germany,Healthcare Providers,6,46,
123721,DE,Company 266,Prospect,Suspect,SDR,Germany,Nonprofit Organization,1,22,
123722,DE,Company 267,Prospect,Suspect,Comm Rep,Germany,,,49,
123723,DE,Company 268,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,748,27,
123724,DE,Company 269,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,180,78,
123725,DE,Company 270,Prospect,Suspect,Comm Rep,Germany,Consulting,841,27,
123726,DE,Company 271,Prospect,Suspect,SDR,Germany,"Grocery, Consumables, Food & Beverage",1009,37,
123727,DE,Company 272,Prospect,Suspect,Comm Rep,Germany,,,43,
123728,DE,Company 273,Prospect,Suspect,Comm Rep,Germany,Healthcare Providers,6,31,
123729,DE,Company 274,Prospect,Suspect,Comm Rep,Germany,Hardlines,308,93,
123730,DE,Company 275,Prospect,Suspect,SDR,Germany,HCLS Other,963,81,
123731,DE,Company 276,Prospect,Suspect,SDR,Germany,Federal & National Government,617,42,
123732,DE,Company 277,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,,31,
123733,DE,Company 278,Prospect,Suspect,Comm Rep,Germany,Healthcare Providers,2500,46,
123734,DE,Company 279,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,1508,42,
123735,DE,Company 280,Prospect,Suspect,SDR,Germany,Hardlines,40,41,
123736,DE,Company 281,Prospect,Suspect,Comm Rep,Germany,Technology Hardware,91,57,
123737,DE,Company 282,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,18,19,
123738,DE,Company 283,Prospect,Suspect,SDR,Germany,Technology Hardware,513,75,
123739,DE,Company 284,Prospect,Suspect,SDR,Germany,Software - B2C,382,19,
123740,DE,Company 285,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,526,64,
123741,DE,Company 286,Prospect,Suspect,Comm Rep,Germany,,1,88,
123742,DE,Company 287,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,4,48,
123743,DE,Company 288,Prospect,Suspect,Comm Rep,Germany,,,51,
123744,DE,Company 289,Prospect,Suspect,SDR,Germany,"Logistics, Transportation & Supply Chain",725,42,
123745,DE,Company 290,Prospect,Suspect,SDR,Germany,Federal & National Government,617,81,
123746,DE,Company 291,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,656,26,
123747,DE,Company 292,Prospect,Suspect,SDR,Germany,Construction,4,39,
123748,DE,Company 293,Prospect,Suspect,SDR,Germany,Industrial Goods,818,41,
123749,DE,Company 294,Prospect,Suspect,SDR,Germany,"Grocery, Consumables, Food & Beverage",100,74,
123750,DE,Company 295,Prospect,Suspect,Comm Rep,Germany,Professional Services,712,27,
123751,DE,Company 296,Prospect,Suspect,SDR,Germany,Industrial Goods,644,38,
123752,DE,Company 297,Prospect,Suspect,SDR,Germany,Nonprofit Organization,,19,
123753,DE,Company 298,Prospect,Suspect,Comm Rep,Germany,,,50,
123754,DE,Company 299,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,4,14,
123755,DE,Company 300,Prospect,Suspect,SDR,Germany,HCLS Other,33,13,
123756,DE,Company 301,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,2,14,
123757,DE,Company 302,Prospect,Suspect,Comm Rep,Germany,Health Insurance Payers,724,58,
